ID,Site,Start Date,End Date,Duration (in seconds),How likely would you be to recommend Braven to a friend?,Braven was one of the most valuable personal or professional development experiences I've ever had.,Please indicate how much you agree with each of the following statements: - I see Braven as more than just a course; I feel like I am part of a broader movement.,Please indicate how much you agree with each of the following statements: - I have a mentor who encourages my goals and dreams.,"On average, how much time did you spend completing Braven-related work compared to your other courses every week?",How challenging was the work you completed for Braven compared to the work you complete in your other courses?,What is your major?,Please indicate how much you agree with each of the following statements: - I feel certain about my ability to get the job I want,Please indicate how much you agree with each of the following statements: - I have what it takes to get a good job,Please indicate how much you agree with each of the following statements: - I am certain that my job search will be successful
248,SJSU,2019-12-10 18:01:59,2019-12-10 18:08:54,415,10,Strongly agree,Strongly agree,Strongly agree,About the same as other courses,Somewhat more challenging than other courses,Business Management And Administration,Strongly agree,Strongly agree,Strongly agree
109,SJSU,2019-12-10 18:01:58,2019-12-10 18:13:48,709,8,Moderately agree,Moderately agree,Agree,About the same as other courses,Somewhat more challenging than other courses,Economics,Neutral,Strongly agree,Moderately Agree
262,SJSU,2019-12-10 18:04:38,2019-12-10 18:14:13,575,7,Neutral,Moderately disagree,Moderately disagree,Somewhat less than other courses,Somewhat less challenging than other courses,Communications,Strongly agree,Strongly agree,Strongly agree
221,SJSU,2019-12-10 18:01:41,2019-12-10 18:15:38,836,10,Strongly agree,Strongly agree,Strongly agree,Somewhat less than other courses,Far less challenging than other courses,Business Management And Administration,Strongly agree,Strongly agree,Agree
42,SJSU,2019-12-10 18:03:28,2019-12-10 18:16:17,768,4,Agree,Moderately agree,Neither agree nor disagree,Somewhat more than other courses,About the same as other courses,Sociology,Moderately Agree,Neutral,Neutral
36,SJSU,2019-12-10 18:01:49,2019-12-10 18:17:22,933,10,Strongly agree,Agree,Agree,About the same as other courses,About the same as other courses,Business Management And Administration,Neutral,Moderately Agree,Neutral
126,SJSU,2019-12-10 18:05:30,2019-12-10 18:20:23,892,8,Strongly agree,Strongly agree,Strongly agree,Somewhat more than other courses,About the same as other courses,Graphic Design,Strongly agree,Strongly agree,Strongly agree
108,SJSU,2019-12-10 18:07:01,2019-12-10 18:20:38,816,5,Moderately agree,Moderately disagree,Agree,About the same as other courses,Somewhat less challenging than other courses,Other [please specify],Strongly agree,Strongly agree,Strongly agree
179,SJSU,2019-12-10 18:18:02,2019-12-10 18:27:10,547,10,Strongly agree,Strongly agree,Strongly agree,Somewhat more than other courses,About the same as other courses,Economics,Strongly agree,Strongly agree,Strongly agree
103,SJSU,2019-12-10 18:14:34,2019-12-10 18:28:18,824,0,Neutral,Neither agree nor disagree,Moderately agree,About the same as other courses,About the same as other courses,Sociology,Moderately Agree,Agree,Agree
