ID,Start Date,End Date,Duration (in seconds),Please indicate how much you agree with each of the following statements: - I feel certain about my ability to get the job I want,Please indicate how much you agree with each of the following statements: - I have what it takes to get a good job,Please indicate how much you agree with each of the following statements: - I am certain that my job search will be successful,How many extracurricular organizations are you currently involved with?,"Do you hold leadership positions in any of these organizations? If so, in how many?",How many internships or co-ops have you had since beginning college?
234,2019-08-24 14:11:02,2019-08-24 14:23:17,734,Agree,Agree,Agree,1,0,1
109,2019-08-24 17:12:55,2019-08-24 17:18:52,356,Strongly agree,Strongly agree,Strongly agree,3,2,1
132,2019-08-24 17:27:07,2019-08-24 17:42:27,920,Moderately Agree,Moderately Agree,Moderately Disagree,1,1,0
192,2019-08-25 15:14:37,2019-08-25 15:27:28,771,Neutral,Moderately Agree,Moderately Agree,2,0,1
257,2019-08-25 22:18:12,2019-08-25 22:34:41,989,Moderately Disagree,Moderately Agree,Neutral,0,0,0
284,2019-08-26 12:59:27,2019-08-26 13:07:51,503,Moderately Agree,Moderately Agree,Neutral,0,0,0
118,2019-08-26 19:23:09,2019-08-26 19:38:36,927,Neutral,Moderately Agree,Moderately Agree,0,0,0
209,2019-08-27 8:23:19,2019-08-27 8:33:13,594,Moderately Disagree,Neutral,Moderately Agree,1,1,0
177,2019-08-27 14:05:41,2019-08-27 14:19:20,818,Neutral,Neutral,Neutral,2,0,0
158,2019-08-27 18:59:20,2019-08-27 19:16:09,1009,Neutral,Moderately Agree,Moderately Agree,0,0,0
229,2019-08-27 17:13:01,2019-08-27 19:19:55,7613,Neutral,Moderately Agree,Moderately Agree,1,0,0
264,2019-08-27 17:13:17,2019-08-27 19:45:26,9128,Strongly agree,Strongly agree,Strongly agree,1,0,0
120,2019-08-27 17:13:09,2019-08-27 20:14:47,10897,Agree,Agree,Agree,0,0,0
36,2019-08-27 23:32:57,2019-08-27 23:52:56,1198,Moderately Disagree,Neutral,Neutral,0,0,0
82,2019-08-28 8:17:56,2019-08-28 8:23:22,325,Neutral,Neutral,Neutral,1,0,0
197,2019-08-28 9:40:46,2019-08-28 10:46:12,3926,Agree,Agree,Agree,3,2,2
188,2019-08-27 17:13:54,2019-08-28 12:40:11,69976,Moderately Agree,Strongly agree,Moderately Agree,0,0,1
